score,game
296008.0,5
303091.6,10
284702.0,15
282706.4,20
273739.0,25
324440.4,30
303000.0,35
310390.0,40
315586.6,45
291985.4,50
297196.8,55
309647.2,60
295009.4,65
305584.0,70
323303.0,75
292856.8,80
313694.8,85
316349.2,90
300439.4,95
327783.0,100
289298.2,105
315641.8,110
329007.0,115
297525.8,120
310033.6,125
312081.4,130
287832.8,135
280542.6,140
324841.2,145
293117.2,150
277973.8,155
278805.6,160
325430.2,165
308510.2,170
349717.8,175
316413.2,180
337770.8,185
314820.8,190
311976.0,195
330918.6,200
282034.6,205
320778.2,210
311735.2,215
328406.4,220
337155.0,225
323582.6,230
318461.6,235
326982.8,240
319148.2,245
354882.6,250
312166.8,255
319028.0,260
329691.8,265
317859.8,270
342789.0,275
323336.4,280
328591.4,285
321648.0,290
356449.0,295
322503.4,300
335371.2,305
345131.2,310
364763.2,315
343515.0,320
316676.4,325
341359.8,330
339739.2,335
334816.8,340
351803.4,345
363772.8,350
344619.6,355
360149.2,360
364704.6,365
339039.0,370
339573.2,375
369163.6,380
361801.0,385
375167.2,390
354854.8,395
339606.2,400
359821.0,405
384921.6,410
386811.8,415
355293.8,420
404390.4,425
348503.8,430
388585.6,435
371001.4,440
334738.8,445
353658.2,450
325142.0,455
359011.0,460
363882.6,465
377565.4,470
348808.6,475
290001.2,480
347620.6,485
332690.2,490
351633.0,495
320376.0,500
361622.4,505
