energy,ship_to_asteroid,asteroid_to_base,ship_to_base,success
4827.0,27.6471991569987,45.07139216441345,42.927116830860406,1
3333.0,24.701403684587714,215.21363512936804,235.91653164708717,1
3083.0,23.707348193928922,348.4194763445868,330.51266745912244,1
2705.0,27.46156727612225,372.3153045160292,347.136655473908,1
2704.0,22.7734289943309,152.5529374590193,144.67461316253056,1
3079.0,22.67679332161145,234.54413200794107,229.269501047767,1
2357.0,19.686604226352312,177.65637600193892,191.71174446659643,1
3170.0,17.022713424524532,178.71389644023077,187.9092721455785,1
1719.0,23.734276881307032,170.59206708232617,147.60101480718197,1
2939.0,18.95681771650721,139.63317691930013,152.48415760666248,0
2126.0,21.295972772612586,139.2822970353738,119.43077428339681,1
3256.0,23.55221308067984,212.95246099049697,233.04730533017786,1
4325.0,28.53737096085257,198.99850799292219,180.04459714420943,1
2960.0,27.633574281539445,111.0383590769811,137.53612400756384,1
2200.0,25.773891748533334,354.15833833198474,331.46710296940506,1
1500.0,454.7866648363915,209.97271126170324,247.84194050019892,1
1716.0,28.223810891857955,140.29969254826113,122.98385375113651,1
3960.0,59.593888801461425,705.729930977587,668.8815960986568,1
3079.0,18.856861495035183,120.05259704214667,117.46606245254209,1
4488.0,50.81981860942317,287.26042856331213,302.1997540737333,1
4892.0,25.141794722937735,229.12505862638017,213.0668057149537,1
2153.0,463.6655048162159,59.644704539684255,407.0618734288816,1
2726.0,27.04036937759826,168.9842840384262,147.65244562222924,1
2090.0,26.63580533325642,139.38609564826442,116.3293078459217,1
2398.0,23.630741854895568,193.18994412780913,201.14016166126038,1
2113.0,23.72479717293371,82.77902271603865,59.08619065691917,1
2759.0,30.860942593727724,171.2509001038989,202.1057273466619,1
3486.0,24.941849534592247,146.1475444790762,169.39320193951977,1
1824.0,303.8622928184111,47.95900740236891,339.1885599255947,1
4567.0,18.457299176924238,112.66999346677535,97.87515036826233,1
1794.0,26.33466928959584,185.22686495338672,159.47874752240793,1
1502.0,336.7001209746844,276.5637811325818,157.85834121408993,0
3811.0,28.110570538787048,138.57555182716877,135.00818641586068,1
2644.0,20.115005304722075,66.12046234106641,84.46380539373392,1
1658.0,28.322743742725248,278.46356938472746,268.64488892079856,1
4290.0,26.491298414208163,181.4171748869268,176.42616631134328,1
3611.0,27.88333984333963,322.0398719440352,294.7195188579225,1
1501.0,707.6775948934342,393.0968389168652,487.76399847687554,1
2432.0,268.1199304337051,178.54330983283236,211.07297461964987,1
4765.0,25.648210183605933,147.60685349976345,123.15879650001892,1
3423.0,23.254512979361966,168.20220276604172,144.95059218138584,1
4419.0,26.984160135500385,158.89041205305682,133.38882028382093,1
1696.0,226.33990994418087,185.90371646288887,72.63690262675574,1
1669.0,97.05359766003839,149.89299868063085,61.535362701168765,1
3267.0,26.94784730589414,167.05754634026704,152.5375063830852,1
2760.0,42.62138378728356,566.6230150024578,569.5457106241945,1
3248.0,28.386226666181013,282.51214644471986,275.2143610555129,1
1503.0,324.38973485456427,276.46372544417454,117.69747120565482,0
2462.0,21.747320665652282,40.540508056583505,25.686333911342146,1
3576.0,25.453417968406555,155.9863954500421,136.09834262112844,1
4136.0,25.63173290587015,295.6295690115205,274.7180222190174,1
2876.0,18.949577174252628,50.0857550506732,69.00884672927928,1
3974.0,26.551539661985146,447.9625244632916,421.64915234722656,1
3458.0,25.805242004497384,246.30472213729863,228.58610727694085,1
2214.0,27.172322260047785,212.9133273594883,185.79683735778073,1
1881.0,28.700188427625875,152.5145471729564,129.39647561767984,1
2914.0,26.651464448871472,835.6688550627027,861.0287891803285,0
1503.0,377.16010186080536,244.05118477045002,133.10969239560612,1
